machine,month,operator,length
0,January,A,97.03091317554869
0,January,A,89.38505463863773
0,January,A,91.81474922796623
0,January,A,95.39691089138815
0,January,A,88.55052983387071
0,January,A,92.1748688384504
0,January,A,89.87118376885682
0,January,A,91.18244136718134
0,January,A,87.68757565667676
0,January,A,92.16798250774049
0,January,A,93.2223422585399
0,January,A,90.34743987665732
0,February,A,88.07957510765702
0,February,A,93.8710327589595
0,February,A,91.73620257782989
0,February,A,94.23422832517673
0,February,A,92.29681147875802
0,February,A,90.2715502837478
0,February,A,92.85642768923972
0,February,A,87.99385242073038
0,February,A,90.95351212403251
0,February,A,92.77152290068061
0,February,A,94.32472380376869
0,February,A,92.35806768477313
0,March,A,91.2521522612281
0,March,A,88.9748502552811
0,March,A,90.47456365941976
0,March,A,89.46372644876496
0,March,A,93.02408786115436
0,March,A,89.12278751196366
0,March,A,90.17223246650812
0,March,A,94.19093176115182
0,March,A,91.66979754690166
0,March,A,93.23044809456002
0,March,A,93.30158002366217
0,March,A,90.48956256143556
1,January,B,90.55594823712019
1,January,B,91.20711184588939
1,January,B,87.8389079564556
1,January,B,90.76859277958887
1,January,B,90.63633909362954
1,January,B,89.47905966486225
1,January,B,92.46774413442483
1,January,B,91.73810387392656
1,January,B,89.86197640525054
1,January,B,88.80572018756553
1,January,B,90.50087232967759
1,January,B,90.10219335826113
1,February,B,92.89660669078
1,February,B,87.61055040378113
1,February,B,89.77541616699405
1,February,B,87.66841403395038
1,February,B,88.2360643648422
1,February,B,90.94771745401535
1,February,B,92.37160833221873
1,February,B,91.89221644351777
1,February,B,89.47848679726721
1,February,B,87.56544966796966
1,February,B,88.66338530077734
1,February,B,88.58866654188571
1,March,B,90.54003540339876
1,March,B,90.81496586887616
1,March,B,90.365151771122
1,March,B,93.48639597278103
1,March,B,92.24260676183275
1,March,B,91.30388623425938
1,March,B,92.99686398521607
1,March,B,91.40329653728716
1,March,B,89.10834346805929
1,March,B,89.62888192635333
1,March,B,91.29743726359862
1,March,B,91.04681932782277
2,January,C,88.30008744796538
2,January,C,92.29807956082233
2,January,C,91.27100993938936
2,January,C,90.87999238320369
2,January,C,91.04233174989726
2,January,C,96.61900034490667
2,January,C,96.13826805371347
2,January,C,87.26616434887741
2,January,C,89.16542612490665
2,January,C,93.5460578615738
2,January,C,93.62536475891716
2,January,C,93.77270349575409
2,February,C,87.35711870101531
2,February,C,91.29038277710485
2,February,C,91.06793242262685
2,February,C,88.62088576318381
2,February,C,83.89502400430943
2,February,C,86.5246852691151
2,February,C,87.50975236153933
2,February,C,91.19418125692629
2,February,C,93.05977859196422
2,February,C,92.8588705652007
2,February,C,90.19266068729857
2,February,C,87.82138670744352
2,March,C,92.6688321746143
2,March,C,93.22796335990907
2,March,C,90.35034792985972
2,March,C,95.23319142796863
2,March,C,89.01531400711514
2,March,C,95.52445878439528
2,March,C,90.14381614918659
2,March,C,92.85608529742048
2,March,C,95.99720621040994
2,March,C,90.45768014170672
2,March,C,91.85743854259522
2,March,C,88.77927523214731
3,January,D,93.31091966185102
3,January,D,91.9610403392579
3,January,D,94.30986271072821
3,January,D,91.40343537142786
3,January,D,88.82830685751154
3,January,D,92.72507611838469
3,January,D,91.55008947427933
3,January,D,93.91050288939367
3,January,D,92.83402692692427
3,January,D,90.77604401713303
3,January,D,90.5402590232361
3,January,D,88.27104243168436
3,February,D,89.80161378853876
3,February,D,94.94244479505167
3,February,D,90.80389641777819
3,February,D,92.8556034839706
3,February,D,86.464784974364
3,February,D,92.19449464139183
3,February,D,91.24044597929941
3,February,D,91.44458564021522
3,February,D,91.36206478129255
3,February,D,89.27836502419507
3,February,D,89.68721486913695
3,February,D,89.44552650381512
3,March,D,89.76959545469364
3,March,D,88.65668311853968
3,March,D,91.6484519742355
3,March,D,91.2095271311326
3,March,D,95.32618896983024
3,March,D,93.3265799194103
3,March,D,91.57955599196676
3,March,D,88.32711195408794
3,March,D,91.77561595722293
3,March,D,91.73373258813727
3,March,D,97.17042514505785
3,March,D,90.93899589823306
4,January,E,89.60422654836398
4,January,E,89.71664660924783
4,January,E,92.28901402387102
4,January,E,92.69175392237486
4,January,E,92.21507909169806
4,January,E,90.26242621059535
4,January,E,92.65406509713135
4,January,E,91.21130604545714
4,January,E,88.57982931988604
4,January,E,91.46842340669468
4,January,E,89.07765715108206
4,January,E,98.15037620397787
4,February,E,89.99338190223575
4,February,E,89.99458477108764
4,February,E,90.81942281089445
4,February,E,92.86001928201446
4,February,E,92.77093025832606
4,February,E,90.61597440813317
4,February,E,90.80532222170773
4,February,E,92.07584662617654
4,February,E,97.88112399876071
4,February,E,88.60413218949859
4,February,E,96.57959306267455
4,February,E,90.49472247864348
4,March,E,90.30865403820886
4,March,E,88.46595100072106
4,March,E,91.77731063868931
4,March,E,87.06353584974114
4,March,E,92.08810992607027
4,March,E,88.10642860352061
4,March,E,91.04357082613244
4,March,E,93.90415456367104
4,March,E,91.94020296710907
4,March,E,88.81303001514561
4,March,E,90.53248032321147
4,March,E,89.5775828341388
